Kabupaten/Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Pacitan,1015606,1546789,1401223,1281699
Ponorogo,1031817,1889235,1338387,1418151
Trenggalek,1187282,1149711,1409257,1228909
Tulungagung,1445261,1468050,1604147,1514567
Blitar,1215007,1495907,1388527,1339073
Kediri,1330034,1785182,1426208,1449994
Malang,1401135,2157295,1969151,1776726
Lumajang,1050332,1710252,1513609,1343326
Jember,1014961,1462017,1394545,1230888
Banyuwangi,1319160,1795697,1582608,1531769
Bondowoso,920508,1408234,1333511,1111614
Situbondo,1066675,1238110,1650258,1292893
Probolinggo,1101158,1872916,1833456,1463401
Pasuruan,1621343,1737608,2146029,1906645
Sidoarjo,1136935,2209494,2160166,2128281
Mojokerto,1384562,1828617,1943319,1751031
Jombang,1040418,1575835,1466235,1371890
Nganjuk,1177043,1882763,1437666,1400193
Madiun,919359,1658124,1371702,1232509
Magetan,1292572,1206644,1550453,1362878
Ngawi,1252617,1940416,1558000,1447073
Bojonegoro,1353458,1855295,1759877,1640109
Tuban,1634655,2285177,2538923,2154102
Lamongan,2119768,2278248,1966496,2084935
Gresik,2005914,2443431,2248118,2233231
Bangkalan,1309642,2256109,2046516,1837297
Sampang,1335363,2220234,1818350,1787008
Pamekasan,1291737,1992900,1559237,1628574
Sumenep,1263731,2283136,1939368,1758385
Kota Kediri,1504977,1793312,1879274,1825905
Kota Blitar,872471,1655915,1508902,1472768
Kota Malang,,1784173,2116395,2071648
Kota Probolinggo,1213163,2055093,1604726,1602592
Kota Pasuruan,1781239,1137283,1754558,1610445
Kota Mojokerto,,1852183,1788465,1797967
Kota Madiun,946704,1577189,1504429,1498195
Kota Surabaya,,2366409,2961155,2860798
Kota Batu,1833145,1947182,1821755,1851333
Jawa Timur,1262964,1834985,1862536,1647962
